n1,n2,weight
58535,39786,-1
58536,39786,-1
58537,58301,-1
58537,40050,-1
58538,39815,-1
58539,39804,-1
58540,39799,-1
58541,58182,-1
58542,58182,-1
58543,58150,-1
58543,58151,-1
58544,58104,-1
58545,58104,-1
58546,58104,-1
58547,58150,-1
58547,58151,-1
58548,40109,-1
58549,39807,-1
58550,39806,-1
58551,39804,-1
58552,39799,-1
58553,39804,-1
40187,39808,1
58554,40046,-1
58555,40153,-1
58556,39776,-1
58557,40030,-1
58558,39716,-1
58559,39829,-1
58560,39921,-1
58561,39700,-1
40188,39880,1
58562,39830,-1
58563,39943,-1
58564,39799,-1
58565,39915,-1
58566,39743,-1
58567,58345,-1
58568,39953,-1
58569,58271,-1
58570,58210,-1
58570,58211,-1
58571,40163,-1
58572,39875,-1
58573,39818,-1
58574,39745,-1
58575,58374,-1
58576,39708,-1
58577,40159,-1
58578,39823,-1
58579,39829,-1
58580,58178,-1
58581,58365,-1
58581,58364,-1
58582,58178,-1
58583,39859,-1
58584,39839,-1
58585,39956,-1
58586,39956,-1
58587,39742,-1
58588,58271,-1
58589,58218,-1
58590,39736,-1
40189,39892,1
40190,39892,1
58591,58149,-1
58592,39745,-1
58593,39746,-1
58594,39747,-1
58595,39740,-1
58596,58327,-1
58597,39867,-1
58598,39867,-1
58599,40109,-1
58600,40157,-1
58601,39741,-1
58602,39738,-1
58603,39847,-1
58604,39710,-1
58605,39686,-1
58606,39798,-1
58607,39884,-1
58608,58373,-1
58609,58373,-1
58610,39945,-1
58611,39765,-1
58611,58119,-1
58612,39764,-1
58612,58118,-1
58612,58117,-1
40191,58215,1
58613,39884,-1
58614,39869,-1
58615,39825,-1
58616,58322,-1
58616,58323,-1
58617,58115,-1
40192,39886,1
58618,39763,-1
58619,39886,-1
40193,39932,1
40194,39932,1
58620,39884,-1
58621,58325,-1
58621,58324,-1
58622,39720,-1
40196,40156,1
40195,40014,1
58623,58108,-1
40197,39879,1
40198,39880,1
40199,39880,1
40200,39883,1
40201,39882,1
40202,39883,1
40203,39886,1
40204,39886,1
40205,39886,1
40206,39886,1
58624,39888,-1
40207,39880,1
40208,39901,1
40209,39901,1
40210,39908,1
40211,39905,1
40212,39905,1
40213,39905,1
40214,39907,1
40215,39907,1
40216,39907,1
40217,39907,1
40218,39908,1
40219,39908,1
40220,39908,1
40221,39909,1
40222,39909,1
40223,39909,1
40224,39909,1
40225,39909,1
40226,39889,1
40227,39898,1
40228,39913,1
40229,39913,1
40230,39913,1
40231,39898,1
58625,58182,-1
58626,39891,-1
58627,39875,-1
58628,58182,-1
