key, n_sentences, n_pro_relations, n_cons_relations, avg_out_pro_deg, avg_out_cons_deg, max_out_pro_deg, max_out_cons_deg, avg_in_pro_deg, avg_in_cons_deg, max_in_pro_deg, max_in_cons_deg, avg_depth, max_depth, min_label_size, avg_label_size, max_label_size, min_descr_size, avg_descr_size, max_descr_size
"wd27", 59, 42, 16, 0.7118644067796611, 0.2711864406779661, 1, 1, 0.7118644067796611, 0.2711864406779661, 12, 7, 2.067796610169492, 3, 22, 48.983050847457605, 75, 0, 4.898305084745763, 91
"wd28", 211, 138, 73, 0.6540284360189571, 0.34597156398104273, 1, 1, 0.6540284360189574, 0.3459715639810426, 13, 8, 2.772511848341234, 6, 0, 74.739336492891, 218, 0, 86.2748815165877, 2055
"wd29", 58, 13, 53, 0.22413793103448265, 0.9137931034482758, 1, 6, 0.2241379310344827, 0.9137931034482757, 8, 8, 1.7241379310344829, 3, 40, 76.53448275862064, 150, 0, 104.051724137931, 1178
"wd30", 18, 10, 7, 0.5555555555555557, 0.38888888888888895, 1, 1, 0.5555555555555556, 0.3888888888888889, 4, 3, 1.5555555555555558, 3, 37, 61.00000000000001, 89, 0, 94.77777777777779, 493
"wd31", 2, 1, 0, 0.5, 0.0, 1, 0, 0.5, 0.0, 1, 0, 0.5, 1, 36, 42.5, 49, 0, 18.0, 36
"wd32", 1, 0, 0, 0.0, 0.0, 0, 0, 0.0, 0.0, 0, 0, 0.0, 0, 40, 40.0, 40, 46977, 46977.0, 46977
"wd33", 14, 9, 4, 0.6428571428571429, 0.28571428571428575, 1, 1, 0.6428571428571429, 0.2857142857142857, 9, 4, 0.9285714285714286, 1, 43, 76.5, 120, 0, 144.64285714285714, 886
"wd34", 47, 19, 27, 0.4042553191489361, 0.5744680851063826, 1, 1, 0.4042553191489362, 0.5744680851063829, 4, 5, 2.191489361702128, 4, 38, 85.74468085106383, 147, 0, 379.40425531914894, 1241
"wd35", 1, 0, 0, 0.0, 0.0, 0, 0, 0.0, 0.0, 0, 0, 0.0, 0, 48, 48.0, 48, 36, 36.0, 36
"wd36", 37, 14, 22, 0.37837837837837834, 0.5945945945945944, 1, 1, 0.3783783783783784, 0.5945945945945946, 6, 7, 1.7567567567567566, 3, 18, 71.7027027027027, 137, 0, 28.918918918918912, 359
"wd37", 76, 33, 57, 0.4342105263157895, 0.7499999999999999, 2, 3, 0.4342105263157895, 0.7500000000000001, 6, 6, 2.4473684210526323, 4, 27, 67.6578947368421, 108, 0, 37.421052631578945, 516
"wd38", 68, 44, 27, 0.6470588235294118, 0.39705882352941163, 1, 1, 0.6470588235294119, 0.39705882352941174, 6, 6, 2.0294117647058822, 3, 25, 56.41176470588236, 134, 0, 332.0294117647058, 1199
"wd39", 5, 2, 3, 0.4, 0.6, 1, 2, 0.4, 0.6, 2, 2, 0.8, 1, 51, 67.4, 80, 102, 196.4, 477
"wd40", 104, 78, 26, 0.7499999999999998, 0.2500000000000001, 1, 2, 0.75, 0.24999999999999994, 7, 11, 2.0096153846153846, 4, 21, 53.9326923076923, 121, 0, 60.932692307692314, 1309
"wd41", 49, 37, 11, 0.7551020408163267, 0.22448979591836737, 1, 1, 0.7551020408163265, 0.22448979591836735, 8, 5, 2.1224489795918364, 4, 28, 46.142857142857146, 96, 0, 5.816326530612246, 81
"wd42", 23, 8, 15, 0.34782608695652173, 0.6521739130434784, 1, 2, 0.34782608695652173, 0.6521739130434783, 6, 10, 1.2173913043478264, 2, 63, 120.17391304347825, 199, 6, 673.7391304347826, 1602
"wd43", 1, 0, 0, 0.0, 0.0, 0, 0, 0.0, 0.0, 0, 0, 0.0, 0, 72, 72.0, 72, 36, 36.0, 36
"wd45", 19, 4, 15, 0.21052631578947367, 0.7894736842105261, 1, 2, 0.21052631578947367, 0.7894736842105262, 4, 4, 1.4736842105263155, 2, 31, 64.36842105263158, 100, 0, 271.42105263157896, 685
"wd46", 17, 8, 8, 0.47058823529411764, 0.47058823529411764, 1, 1, 0.47058823529411764, 0.47058823529411764, 8, 8, 0.9411764705882353, 1, 34, 51.76470588235294, 73, 0, 51.705882352941174, 879
"wd47", 3, 1, 1, 0.33333333333333337, 0.33333333333333337, 1, 1, 0.3333333333333333, 0.3333333333333333, 1, 1, 0.6666666666666667, 1, 28, 40.333333333333336, 48, 0, 89.66666666666667, 269
"am-tr0", 13, 6, 6, 0.4615384615384615, 0.46153846153846156, 1, 1, 0.46153846153846156, 0.46153846153846156, 1, 4, 1.6153846153846154, 3, 123, 225.07692307692307, 298, 0, 0.0, 0
"am-tr1", 4, 1, 2, 0.25, 0.5, 1, 1, 0.25, 0.5, 1, 1, 1.0, 2, 51, 86.75, 135, 0, 0.0, 0
"am-tr2", 2, 1, 0, 0.5, 0.0, 1, 0, 0.5, 0.0, 1, 0, 0.5, 1, 65, 163.5, 262, 0, 0.0, 0
"am-tr3", 2, 1, 0, 0.5, 0.0, 1, 0, 0.5, 0.0, 1, 0, 0.5, 1, 39, 122.5, 206, 0, 0.0, 0
"am-tr4", 6, 2, 3, 0.33333333333333337, 0.5, 1, 1, 0.3333333333333333, 0.5, 2, 2, 1.0, 2, 45, 155.5, 294, 0, 0.0, 0
"am-tr5", 3, 1, 1, 0.33333333333333337, 0.33333333333333337, 1, 1, 0.3333333333333333, 0.33333333333333337, 1, 1, 1.0, 2, 43, 73.33333333333333, 126, 0, 0.0, 0
"am-tr6", 2, 0, 1, 0.0, 0.5, 0, 1, 0.0, 0.5, 0, 1, 0.5, 1, 58, 170.5, 283, 0, 0.0, 0
"am-tr7", 8, 1, 6, 0.12500000000000003, 0.75, 1, 1, 0.125, 0.75, 1, 5, 1.0, 2, 39, 127.75, 247, 0, 0.0, 0
"am-tr8", 2, 1, 0, 0.5, 0.0, 1, 0, 0.5, 0.0, 1, 0, 0.5, 1, 38, 159.5, 281, 0, 0.0, 0
"am-tr9", 10, 3, 6, 0.3, 0.6, 1, 1, 0.3, 0.6, 2, 3, 1.5, 3, 52, 173.8, 294, 0, 0.0, 0
"am-tr10", 6, 2, 3, 0.33333333333333337, 0.5, 1, 1, 0.33333333333333337, 0.5, 1, 2, 1.1666666666666665, 2, 38, 110.0, 289, 0, 0.0, 0
"am-tr11", 3, 1, 1, 0.33333333333333337, 0.33333333333333337, 1, 1, 0.3333333333333333, 0.33333333333333337, 1, 1, 1.0, 2, 37, 96.0, 201, 0, 0.0, 0
"am-tr12", 3, 1, 1, 0.33333333333333337, 0.33333333333333337, 1, 1, 0.3333333333333333, 0.3333333333333333, 1, 1, 0.6666666666666667, 1, 46, 129.33333333333334, 277, 0, 0.0, 0
"am-tr13", 8, 5, 2, 0.625, 0.25, 1, 1, 0.625, 0.25, 4, 1, 1.125, 2, 43, 94.875, 191, 0, 0.0, 0
"am-fr0", 4, 1, 2, 0.25, 0.5, 1, 1, 0.25, 0.5, 1, 1, 1.0, 2, 38, 132.0, 219, 0, 0.0, 0
"am-fr1", 11, 3, 7, 0.2727272727272727, 0.6363636363636364, 1, 1, 0.27272727272727276, 0.6363636363636364, 2, 2, 1.9090909090909092, 4, 86, 189.36363636363635, 293, 0, 0.0, 0
"am-fr2", 4, 2, 1, 0.5, 0.25, 1, 1, 0.5, 0.25, 2, 1, 1.0, 2, 56, 107.0, 152, 0, 0.0, 0
"am-fr3", 18, 5, 12, 0.2777777777777778, 0.6666666666666667, 1, 1, 0.2777777777777778, 0.6666666666666667, 3, 2, 2.555555555555556, 5, 50, 133.38888888888889, 244, 0, 0.0, 0
"am-fr4", 4, 2, 1, 0.5, 0.25, 1, 1, 0.5, 0.25, 1, 1, 1.0, 2, 52, 79.5, 106, 0, 0.0, 0
"am-fr5", 5, 0, 4, 0.0, 0.8, 0, 1, 0.0, 0.8, 0, 4, 0.8, 1, 75, 168.4, 287, 0, 0.0, 0
